date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:48	10498/10498	U-----	200	untouched ('OK')	text/html	etag:%22191342fc-2902-9dc4f8c0%22	http://www.kawashima-pack.co.jp/kbf-y-top-at/KBF-1000-b.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top-at/KBF-1000-b.html	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:49	3322/3322	U-----	200	untouched ('')	image/jpeg	etag:%22191342ef-cfa-9c56c2c0%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-371_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-371_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:49	9519/9519	U-----	200	untouched ('OK')	text/html	etag:%22191342fe-252f-9dc4f8c0%22	http://www.kawashima-pack.co.jp/kbf-y-top-at/KBF-371.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top-at/KBF-371.html	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:49	10951/10951	U-----	200	untouched ('OK')	text/html	etag:%2219134304-2ac7-9df2bf80%22	http://www.kawashima-pack.co.jp/kbf-y-top-at/KBF-7400Z.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top-at/KBF-7400Z.html	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:49	2834/2834	U-----	200	untouched ('')	image/jpeg	etag:%22191342f4-b12-9c660500%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-7400Z_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-7400Z_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:50	2854/2854	U-----	200	untouched ('')	image/jpeg	etag:%22191342f1-b26-9c56c2c0%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-7001E_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-7001E_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:50	2672/2672	U-----	200	untouched ('')	image/jpeg	etag:%22191342f5-a70-9c754740%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-7500_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-7500_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:50	8760/8760	U-----	200	untouched ('OK')	text/html	etag:%2219134301-2238-9dd43b00%22	http://www.kawashima-pack.co.jp/kbf-y-top-at/KBF-7001E.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top-at/KBF-7001E.html	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:50	22059/22059	U-----	200	untouched ('OK')	text/html	etag:%2219134306-562b-9e0201c0%22	http://www.kawashima-pack.co.jp/kbf-y-top-at/KBF-7500.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top-at/KBF-7500.html	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:51	3380/3380	U-----	200	untouched ('')	image/jpeg	etag:%22191342f6-d34-9c754740%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-7502F_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-7502F_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:51	3711/3711	U-----	200	untouched ('')	image/jpeg	etag:%22191342f3-e7f-9c660500%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-71_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-71_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:51	8878/8878	U-----	200	untouched ('OK')	text/html	etag:%2219134307-22ae-9e0201c0%22	http://www.kawashima-pack.co.jp/kbf-y-top-at/KBF-7502F.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top-at/KBF-7502F.html	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:52	6405/6405	U-----	200	untouched ('OK')	text/html	etag:%2219134303-1905-9de37d40%22	http://www.kawashima-pack.co.jp/kbf-y-top-at/KBF-71.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top-at/KBF-71.html	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:52	4956/4956	U-----	200	untouched ('OK')	text/html	etag:%2219134305-135c-9df2bf80%22	http://www.kawashima-pack.co.jp/kbf-y-top-at/KBF-750.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top-at/KBF-750.html	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:52	3589/3589	U-----	200	untouched ('')	image/jpeg	etag:%22191342f7-e05-9c848980%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-750_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-750_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:52	43/43	U-----	200	untouched ('')	image/gif	etag:%22191340d6-2b-79f27080%22	http://www.kawashima-pack.co.jp/gw-top/attodetl.files/logo.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/gw-top/attodetl.files/logo.gif	(from http://www.kawashima-pack.co.jp/gw-top/gw-top.html)
09:14:53	1782/1782	U-----	200	untouched ('')	image/gif	etag:%22191340d2-6f6-79d3ec00%22	http://www.kawashima-pack.co.jp/gw-top/attodetl.files/form.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/gw-top/attodetl.files/form.gif	(from http://www.kawashima-pack.co.jp/gw-top/gw-top.html)
09:14:53	3045/3045	U-----	200	untouched ('')	image/jpeg	etag:%22191340d3-be5-79e32e40%22	http://www.kawashima-pack.co.jp/gw-top/attodetl.files/GW-22MC_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/gw-top/attodetl.files/GW-22MC_index.jpg	(from http://www.kawashima-pack.co.jp/gw-top/gw-top.html)
09:14:53	10321/10321	U-----	200	untouched ('OK')	text/html	etag:%22191340d9-2851-7a9a4940%22	http://www.kawashima-pack.co.jp/gw-top-at/GW-22MC.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/gw-top-at/GW-22MC.html	(from http://www.kawashima-pack.co.jp/gw-top/gw-top.html)
